,period,thickness,filling,mean_energy,diff_energy
115,460.0,80.0,0.78,1.494691742105657,0.44358481325557575
116,480.0,80.0,0.7,1.5654073297457178,0.5017839160250737
117,480.0,80.0,0.74,1.4940698138955422,0.4358906607662152
118,480.0,80.0,0.78,1.4594452628380954,-0.4404297771039929
119,500.0,80.0,0.7,1.5077959186608938,-0.4591512555073758
120,500.0,80.0,0.74,1.4575528987982662,0.4312748652009879
121,500.0,80.0,0.78,1.439692677149613,-0.4078605740612202
122,520.0,80.0,0.74,1.4392292249128145,0.4382075784512516
123,540.0,80.0,0.74,1.4143962704955326,0.3951234868677018
124,580.0,80.0,0.82,1.5655082778676144,0.14763154298204162
125,600.0,80.0,0.78,1.3740383993275822,0.23536850133070852
126,600.0,80.0,0.82,1.536283241311299,0.14836243476079525
127,400.0,90.0,0.7,1.4164389457651576,-0.07313837352437891
128,420.0,90.0,0.7,1.356755496108879,-0.10283185435908027
129,440.0,90.0,0.7,1.3322515984551093,-0.0581582607135247
130,440.0,90.0,0.74,1.5797487891435016,0.5272869044617803
131,460.0,90.0,0.78,1.4636245433725834,-0.4445282717125547
132,480.0,90.0,0.7,1.5630735846627777,0.5633952721912956
133,500.0,90.0,0.7,1.5375746828047385,0.5834809283791809
134,560.0,90.0,0.82,1.5673332085812617,0.16738309718215283
135,580.0,90.0,0.74,1.596630683477048,0.15944903302387514
136,580.0,90.0,0.78,1.557030978328016,0.1520503717060917
137,600.0,90.0,0.7,1.4828320177259915,0.43317039882118613
138,600.0,90.0,0.78,1.5380078071705554,0.16826913642012897
139,600.0,90.0,0.82,1.503478768746319,0.1431353494283485
